protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
SNAP25,control,1,1,0.3,10,2334,368,1966,1870,0.4640337264467897,0.6714618078336546,-0.3334509359239202,17.0
SNAP25,500uM_H2O2_30min,1,2,0.3,10,1295,763,532,483,0.6006535445350465,1.2658617499133331,-0.22137595575409266,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.3,10,1023,267,756,720,0.5183375686764307,0.8495549146901099,-0.28538731690832975,17.0
SNAP25,control,1,2,0.3,10,1704,358,1346,1285,0.5112095307444723,0.721828672391606,-0.29140105799686217,17.0
SNAP25,500uM_H2O2_30min,1,3,0.3,10,1354,165,1189,1116,0.3936921279657718,0.5903044531909608,-0.4048434311073313,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.3,10,1487,250,1237,1179,0.4100893826746029,0.5650713694254792,-0.38712147456894697,18.0
SNAP25,control,1,3,0.3,10,1821,332,1489,1408,0.4368642968633711,0.651769558199679,-0.35965347156992145,17.0
SNAP25,500uM_H2O2_30min,2,1,0.3,10,2890,922,1968,1859,0.5508332606705812,0.9520800439808327,-0.2589798438516082,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.3,10,4794,1072,3722,3572,0.5681247006437928,0.8647127380133084,-0.24555633301118818,15.0
SNAP25,control,2,1,0.3,10,4368,914,3454,3314,0.521809441709385,0.7795415614083762,-0.2824880806567913,16.0
SNAP25,500uM_H2O2_30min,2,2,0.3,10,2378,889,1489,1405,0.6602181529262686,1.3330482423171182,-0.18031253876468165,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.3,10,2720,940,1780,1715,0.6860683058092678,1.2228508556443816,-0.16363264324475846,16.0
SNAP25,control,2,2,0.3,10,2181,711,1470,1410,0.5879943454254963,1.0076039529716025,-0.23062688524283811,16.0
SNAP25,500uM_H2O2_30min,2,3,0.3,10,2121,495,1626,1550,0.5771669446720123,1.0357222792379228,-0.2387004314695857,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.3,10,2739,674,2065,1990,0.521283730827802,0.7997936352940401,-0.28292594680713357,17.0
SNAP25,control,2,3,0.3,10,2811,532,2279,2185,0.5385018929748937,0.8831250041134252,-0.2688127657047076,16.0
Syx,500uM_H2O2_30min,1,1,0.3,10,705,95,610,509,0.28715631182026863,0.5717272183664056,-0.5418816332968424,14.0
