protein,condition,sample,cell,file_name,n_tracks_raw,n_edge_tracks_removed,n_tracks_after_edge,n_tracks_used,median_track_length,mean_track_length,median_D,mean_D,median_log10_D,mean_log10_D
Syx,control,2,1,C2-cs2Syx_HEK_cell1_spots.csv,2209,481,1728,1570,15.5,19.328662420382166,0.13752818931897803,0.199761617030169,-0.8616082758023675,-0.952639453801399
Syx,500uM_H2O2_30min,2,2,C2-cs2Syx_HEK_cell2_500um_30min_spots.csv,905,602,303,267,15.0,19.52059925093633,0.16700810827159351,0.25014350859768575,-0.7772624432708136,-0.8663243688697501
Syx,Ox_500uM_H2O2,2,2,C2-cs2Syx_HEK_cell2_500um_spots.csv,683,224,459,384,17.0,20.734375,0.12540268899547377,0.20603604613719664,-0.901694050519772,-1.0053011223253587
Syx,control,2,2,C2-cs2Syx_HEK_cell2_spots.csv,676,38,638,562,14.0,17.955516014234874,0.1754362392214871,0.2642581350837812,-0.7558808457150512,-0.8285390156054194
Syx,500uM_H2O2_30min,2,3,C2-cs2Syx_HEK_cell3_500um_30min_spots.csv,1318,425,893,796,15.0,20.139447236180903,0.21945326656444075,0.41210160501440113,-0.6586590358313797,-0.7446196712268094
Syx,Ox_500uM_H2O2,2,3,C2-cs2Syx_HEK_cell3_500um_spots.csv,919,139,780,662,17.0,21.0392749244713,0.2060717683884394,0.31370248715451315,-0.6859817940162605,-0.7993415989519357
Syx,control,2,3,C2-cs2Syx_HEK_cell3_spots.csv,1639,308,1331,1232,15.0,19.224025974025974,0.25635481563658713,0.3701204824430572,-0.5911586042142011,-0.6588732934180259
Syx,500uM_H2O2_30min,3,1,cs3Syx_HEK_cell1_500um_30min_spots.csv,2578,477,2101,1823,15.0,19.233132199670873,0.2455575122185489,0.4383191617168074,-0.609846775174577,-0.6737972502494195
Syx,Ox_500uM_H2O2,3,1,cs3Syx_HEK_cell1_500um_spots.csv,2305,149,2156,1933,16.0,19.70977754785308,0.2532200630582629,0.39048993353418565,-0.5965018873975707,-0.68088910285188
Syx,control,3,1,cs3Syx_HEK_cell1_spots.csv,1274,489,785,680,15.0,20.108823529411765,0.21403216515697174,0.37701515570281724,-0.669521097468115,-0.7460472955548806
Syx,500uM_H2O2_30min,3,2,C2-cs3Syx_HEK_cell2_500um_30min_spots.csv,956,516,440,409,16.0,18.581907090464547,0.20663623279587529,0.33242433123943843,-0.6847935244251244,-0.746123218878876
Syx,Ox_500uM_H2O2,3,2,C2-cs3Syx_HEK_cell2_500um_spots.csv,697,192,505,443,15.0,18.975169300225733,0.1917503226650946,0.2938868835214958,-0.7172638965755802,-0.815910270200841
Syx,control,3,2,cs3Syx_HEK_cell2_spots.csv,2261,484,1777,1588,16.0,20.540931989924434,0.19516688458805065,0.31788277339109694,-0.7095945480458893,-0.7769299440516105
Syx,500uM_H2O2_30min,3,3,cs3Syx_HEK_cell3_500um_30min_spots.csv,1735,416,1319,1159,16.0,20.817083692838654,0.22908836505311583,0.3760556213678812,-0.6399969672119235,-0.6939434387734641
Syx,Ox_500uM_H2O2,3,3,cs3Syx_HEK_cell3_500um_spots.csv,1018,574,444,394,16.0,21.550761421319798,0.21737242600839107,0.4023411720089276,-0.662795565756093,-0.7148992827688732
Syx,control,3,3,cs3Syx_HEK_cell3_spots.csv,1238,336,902,807,16.0,21.5724907063197,0.24584079740388534,0.4097553978132633,-0.6093460440812193,-0.640690579668225
