protein,condition,sample,cell,edge_margin_um,min_track_length,velocity_percentile,threshold_um_s,fast_fraction,fast_percent,n_links
SNAP25,500uM_H2O2_30min,1,1,0.3,5,90,21.603786788703133,0.08834267496271919,8.83426749627192,38894
SNAP25,Ox_500uM_H2O2,1,1,0.3,5,90,21.603786788703133,0.08886240233081712,8.886240233081711,45306
SNAP25,control,1,1,0.3,5,90,21.603786788703133,0.07318127495105144,7.318127495105144,39327
SNAP25,500uM_H2O2_30min,1,2,0.3,5,90,21.603786788703133,0.18578300374131482,18.57830037413148,9355
SNAP25,Ox_500uM_H2O2,1,2,0.3,5,90,21.603786788703133,0.10269496483475446,10.269496483475447,16067
SNAP25,control,1,2,0.3,5,90,21.603786788703133,0.09651376146788991,9.65137614678899,27250
SNAP25,500uM_H2O2_30min,1,3,0.3,5,90,21.603786788703133,0.07864523536165327,7.864523536165327,22646
SNAP25,Ox_500uM_H2O2,1,3,0.3,5,90,21.603786788703133,0.06178006450622024,6.178006450622024,26044
SNAP25,control,1,3,0.3,5,90,21.603786788703133,0.07594803739626738,7.594803739626737,28559
SNAP25,500uM_H2O2_30min,2,1,0.3,5,90,21.603786788703133,0.12846786162803972,12.846786162803973,35036
SNAP25,Ox_500uM_H2O2,2,1,0.3,5,90,21.603786788703133,0.12063376654851707,12.063376654851707,66018
SNAP25,control,2,1,0.3,5,90,21.603786788703133,0.10316139767054909,10.316139767054908,64307
SNAP25,500uM_H2O2_30min,2,2,0.3,5,90,21.603786788703133,0.18356494061020107,18.356494061020108,25762
SNAP25,Ox_500uM_H2O2,2,2,0.3,5,90,21.603786788703133,0.15394721127433417,15.394721127433417,33492
SNAP25,control,2,2,0.3,5,90,21.603786788703133,0.1261839503174548,12.61839503174548,28823
SNAP25,500uM_H2O2_30min,2,3,0.3,5,90,21.603786788703133,0.15063594345669848,15.063594345669848,29641
SNAP25,Ox_500uM_H2O2,2,3,0.3,5,90,21.603786788703133,0.10979154761608984,10.979154761608983,40249
SNAP25,control,2,3,0.3,5,90,21.603786788703133,0.12027316983134531,12.027316983134531,43343
SNAP25,500uM_H2O2_30min,1,1,0.3,5,95,30.88765205120705,0.04419704838792616,4.419704838792616,38894
SNAP25,Ox_500uM_H2O2,1,1,0.3,5,95,30.88765205120705,0.045534807751732666,4.553480775173266,45306
SNAP25,control,1,1,0.3,5,95,30.88765205120705,0.03595494189742416,3.595494189742416,39327
SNAP25,500uM_H2O2_30min,1,2,0.3,5,95,30.88765205120705,0.093425975414217,9.3425975414217,9355
SNAP25,Ox_500uM_H2O2,1,2,0.3,5,95,30.88765205120705,0.05340138171407232,5.340138171407232,16067
SNAP25,control,1,2,0.3,5,95,30.88765205120705,0.04388990825688074,4.388990825688074,27250
SNAP25,500uM_H2O2_30min,1,3,0.3,5,95,30.88765205120705,0.038152433100768345,3.8152433100768346,22646
SNAP25,Ox_500uM_H2O2,1,3,0.3,5,95,30.88765205120705,0.029949316541237905,2.9949316541237905,26044
SNAP25,control,1,3,0.3,5,95,30.88765205120705,0.03760635876606324,3.760635876606324,28559
SNAP25,500uM_H2O2_30min,2,1,0.3,5,95,30.88765205120705,0.07212581344902386,7.212581344902386,35036
SNAP25,Ox_500uM_H2O2,2,1,0.3,5,95,30.88765205120705,0.06260413826532157,6.260413826532157,66018
SNAP25,control,2,1,0.3,5,95,30.88765205120705,0.05268477770693704,5.268477770693704,64307
SNAP25,500uM_H2O2_30min,2,2,0.3,5,95,30.88765205120705,0.09797375980125766,9.797375980125766,25762
SNAP25,Ox_500uM_H2O2,2,2,0.3,5,95,30.88765205120705,0.08121342410127792,8.121342410127792,33492
SNAP25,control,2,2,0.3,5,95,30.88765205120705,0.06425424140443396,6.425424140443396,28823
SNAP25,500uM_H2O2_30min,2,3,0.3,5,95,30.88765205120705,0.0806652946931615,8.06652946931615,29641
SNAP25,Ox_500uM_H2O2,2,3,0.3,5,95,30.88765205120705,0.05356654823722329,5.356654823722328,40249
SNAP25,control,2,3,0.3,5,95,30.88765205120705,0.06130170961862354,6.130170961862354,43343
SNAP25,500uM_H2O2_30min,1,1,0.3,5,99,45.369225337035076,0.009513035429629248,0.9513035429629249,38894
SNAP25,Ox_500uM_H2O2,1,1,0.3,5,99,45.369225337035076,0.00904957400785768,0.9049574007857679,45306
SNAP25,control,1,1,0.3,5,99,45.369225337035076,0.007882625168459329,0.7882625168459328,39327
SNAP25,500uM_H2O2_30min,1,2,0.3,5,99,45.369225337035076,0.019882415820416888,1.9882415820416888,9355
SNAP25,Ox_500uM_H2O2,1,2,0.3,5,99,45.369225337035076,0.009335905894068589,0.9335905894068588,16067
SNAP25,control,1,2,0.3,5,99,45.369225337035076,0.00781651376146789,0.7816513761467889,27250
SNAP25,500uM_H2O2_30min,1,3,0.3,5,99,45.369225337035076,0.007551002384527068,0.7551002384527068,22646
SNAP25,Ox_500uM_H2O2,1,3,0.3,5,99,45.369225337035076,0.0069881738596221776,0.6988173859622178,26044
SNAP25,control,1,3,0.3,5,99,45.369225337035076,0.006933015861899926,0.6933015861899926,28559
SNAP25,500uM_H2O2_30min,2,1,0.3,5,99,45.369225337035076,0.015212923849754539,1.5212923849754538,35036
SNAP25,Ox_500uM_H2O2,2,1,0.3,5,99,45.369225337035076,0.0122390863097943,1.22390863097943,66018
SNAP25,control,2,1,0.3,5,99,45.369225337035076,0.011258494409628813,1.1258494409628812,64307
SNAP25,500uM_H2O2_30min,2,2,0.3,5,99,45.369225337035076,0.016652433817250213,1.6652433817250214,25762
SNAP25,Ox_500uM_H2O2,2,2,0.3,5,99,45.369225337035076,0.014540785859309686,1.4540785859309686,33492
SNAP25,control,2,2,0.3,5,99,45.369225337035076,0.012177774693820908,1.2177774693820909,28823
SNAP25,500uM_H2O2_30min,2,3,0.3,5,99,45.369225337035076,0.014102088323605816,1.4102088323605817,29641
SNAP25,Ox_500uM_H2O2,2,3,0.3,5,99,45.369225337035076,0.009838753757857338,0.9838753757857338,40249
SNAP25,control,2,3,0.3,5,99,45.369225337035076,0.012020395450245714,1.2020395450245713,43343
Syx,500uM_H2O2_30min,1,1,0.3,5,90,19.552412134189183,0.13865030674846626,13.865030674846626,9780
Syx,Ox_500uM_H2O2,1,1,0.3,5,90,19.552412134189183,0.13476312419974393,13.476312419974393,3124
Syx,control,1,1,0.3,5,90,19.552412134189183,0.13530405405405405,13.530405405405405,5920
Syx,500uM_H2O2_30min,1,2,0.3,5,90,19.552412134189183,0.2002273157795037,20.02273157795037,21116
Syx,Ox_500uM_H2O2,1,2,0.3,5,90,19.552412134189183,0.1589041095890411,15.890410958904111,22630
Syx,control,1,2,0.3,5,90,19.552412134189183,0.183902981473322,18.390298147332203,47661
Syx,500uM_H2O2_30min,1,3,0.3,5,90,19.552412134189183,0.18048967791480328,18.048967791480326,44274
Syx,Ox_500uM_H2O2,1,3,0.3,5,90,19.552412134189183,0.1386113886113886,13.86113886113886,12012
